symbol,entry_date,exit_date_actual,entry_price,exit_price_actual,qty,actual_pnl_usd,sim_exit_date,sim_exit_price,simulated_pnl_usd,sim_exit_reason,improvement_usd,broker
ALB,2026-03-03,2026-03-10,166.0472,171.18,89,456.82,2026-03-03,162.7262,-295.56,emergency_sl,-752.38,ALPACA
ALB,2026-03-03,2026-03-10,165.1961,172.01,89,606.44,2026-03-03,161.8921,-294.05,emergency_sl,-900.49,ALPACA
ALB,2026-03-11,2026-03-12,168.043,163.61,784,-3475.45,2026-03-11,164.6821,-2634.91,emergency_sl,840.54,ALPACA
APP,2026-03-03,2026-03-03,417.12,440.43,1,23.31,2026-03-03,408.7776,-8.34,emergency_sl,-31.65,ALPACA
APP,2026-03-03,2026-03-03,415.77,440.89,1,25.12,2026-03-03,407.4546,-8.32,emergency_sl,-33.44,ALPACA
APP,2026-03-03,2026-03-03,414.71,441.29,1,26.58,2026-03-03,406.4158,-8.29,emergency_sl,-34.87,ALPACA
APP,2026-03-03,2026-03-03,440.7,443.4,1,2.7,2026-03-03,431.886,-8.81,emergency_sl,-11.51,ALPACA
APP,2026-03-03,2026-03-03,440.7,443.62,1,2.92,2026-03-03,431.886,-8.81,emergency_sl,-11.73,ALPACA
APP,2026-03-03,2026-03-10,439.7233,511.68,12,863.48,2026-03-03,430.9289,-105.53,emergency_sl,-969.01,ALPACA
APP,2026-03-03,2026-03-10,438.7183,512.14,6,440.53,2026-03-03,429.944,-52.65,emergency_sl,-493.18,ALPACA
APP,2026-03-03,2026-03-10,438.0,512.59,3,223.77,2026-03-03,429.24,-26.28,emergency_sl,-250.05,ALPACA
APP,2026-03-03,2026-03-11,437.86,473.78,2,71.84,2026-03-03,429.1028,-17.51,emergency_sl,-89.35,ALPACA
APP,2026-03-03,2026-03-11,437.5,476.25,2,77.5,2026-03-03,428.75,-17.5,emergency_sl,-95.0,ALPACA
COF,2026-03-03,2026-03-03,188.725,193.13,2,8.81,2026-03-03,193.73,10.01,blow_off,1.2,ALPACA
COF,2026-03-03,2026-03-03,188.55,193.54,2,9.98,2026-03-03,193.73,10.36,blow_off,0.38,ALPACA
COF,2026-03-03,2026-03-04,188.55,196.4,3,23.55,2026-03-03,193.73,15.54,blow_off,-8.01,ALPACA
COF,2026-03-03,2026-03-04,188.55,196.4,3,23.55,2026-03-03,193.73,15.54,blow_off,-8.01,ALPACA
COF,2026-03-04,2026-03-10,195.8769,183.7863,448,-5416.62,2026-03-06,191.9594,-1755.06,emergency_sl,3661.56,ALPACA
COIN,2026-03-03,2026-03-04,181.2433,199.79,6,111.28,2026-03-03,177.6185,-21.75,emergency_sl,-133.03,ALPACA
COIN,2026-03-04,2026-03-10,209.1977,196.7538,270,-3359.85,2026-03-04,205.0137,-1129.67,emergency_sl,2230.18,ALPACA
COIN,2026-03-11,2026-03-11,195.3387,198.25,32,93.16,2026-03-11,198.63,105.32,blow_off,12.16,ALPACA
COIN,2026-03-11,2026-03-11,195.1805,198.21,16,48.47,2026-03-11,198.63,55.19,blow_off,6.72,ALPACA
COIN,2026-03-11,2026-03-11,195.0923,198.3,8,25.66,2026-03-11,198.63,28.3,blow_off,2.64,ALPACA
COIN,2026-03-11,2026-03-11,195.0708,198.485,4,13.66,2026-03-11,198.63,14.24,blow_off,0.58,ALPACA
COIN,2026-03-11,2026-03-11,195.0708,198.57,2,7.0,2026-03-11,198.63,7.12,blow_off,0.12,ALPACA
COIN,2026-03-11,2026-03-11,195.0708,196.71,3,4.92,2026-03-11,198.63,10.68,blow_off,5.76,ALPACA
CVNA,2026-03-03,2026-03-05,313.0,323.65,2,21.3,2026-03-03,306.74,-12.52,emergency_sl,-33.82,ALPACA
CVNA,2026-03-03,2026-03-05,312.15,326.19,1,14.04,2026-03-03,305.907,-6.24,emergency_sl,-20.28,ALPACA
CVNA,2026-03-03,2026-03-05,311.32,323.8,1,12.48,2026-03-03,305.0936,-6.23,emergency_sl,-18.71,ALPACA
CVNA,2026-03-11,2026-03-11,321.6075,308.02,8,-108.7,2026-03-11,315.1754,-51.46,emergency_sl,57.24,ALPACA
CVNA,2026-03-11,2026-03-11,318.33,309.69,8,-69.12,2026-03-11,311.9634,-50.93,emergency_sl,18.19,ALPACA
